ensembl_gene_id	external_gene_name	entrezgene_id
YLR345W		851059
YPR140W	TAZ1	856262
YKL208W	CBT1	853673
Q0045	COX1	854598
YKL058W	TOA2	853807
YGL030W	RPL30	852853
YHR209W	CRG1	856616
YJL082W	IML2	853363
YKR017C	HEL1	853887
YER126C	NSA2	856863
YDR110W	FOB1	851688
YGL033W	HOP2	852850
YKL046C	DCW1	853820
YGR165W	MRPS35	853075
YML103C	NUP188	854868
YFL010W-A	AUA1	850537
YGR193C	PDX1	853107
YLR439W	MRPL4	851160
YKL001C	MET14	853869
YKL078W	DHR2	853784
YJL062W	LAS21	853384
YPL245W		855831
YBR058C-A	TSC3	852350
YNL106C	INP52	855618
YNL204C	SPS18	855517
YDR211W	GCD6	851797
YDL109C		851449
YOR117W	RPT5	854284
YOR074C	CDC21	854241
YPL170W	DAP1	855933
YHR072W	ERG7	856470
YOR077W	RTS2	854244
YAL043C	PTA1	851255
YPL115C	BEM3	855988
YBR268W	MRPL37	852571
YJR022W	LSM8	853479
YER025W	GCD11	856746
YPL226W	NEW1	855875
YLR348C	DIC1	851063
YNL320W		855396
YEL070W	DSF1	855810
YEL070W	DSF1	856639
YMR034C	RCH1	855050
YJL178C	ATG27	853261
YMR310C		855358
YKL132C	RMA1	853727
YBR286W	APE3	852589
YOL163W		854001
YGR044C	RME1	852935
YJL133C-A		1466465
YCR023C		850387
YLR057W	MNL2	850746
YIL024C		854788
YJL141C	YAK1	853300
YPR192W	AQY1	856322
YOR304W	ISW2	854480
YLR009W	RLP24	850695
YEL048C	TCA17	856663
YBR196C-A		1466447
YLL024C	SSA2	850636
YOR255W	OSW1	854429
YNL141W	AAH1	855581
YML034W	SRC1	854974
YDR202C	RAV2	851784
YBL091C-A	SCS22	852186
YER099C	PRS2	856836
YGL002W	ERP6	852882
YMR131C	RRB1	855161
YLL048C	YBT1	850678
YPL150W		855953
YCL067C	HMLALPHA2	850406
YCL067C	HMLALPHA2	850292
YMR263W	SAP30	855305
YOR289W		854463
YCL025C	AGP1	850333
YDL132W	CDC53	851424
YKL186C	MTR2	853649
YCL043C	PDI1	850314
YOL100W	PKH2	854053
YDR034C-A		851602
YOR337W	TEA1	854515
YDL013W	SLX5	851549
YDR534C	FIT1	852147
YLR157C	ASP3-2	850857
YLR157C	ASP3-2	850855
YLR157C	ASP3-2	850852
YLR157C	ASP3-2	850850
YGL039W		852844
YCR012W	PGK1	850370
YOL086W-A	MHF1	854067
YHR049W	FSH1	856445
YMR113W	FOL3	855140
YPL055C	LGE1	856052
YBR213W	MET8	852514
YLR226W	BUR2	850923
YCR075C	ERS1	850438
YDR392W	SPT3	852001
YAL051W	OAF1	851247
YPL079W	RPL21B	856026
YDR178W	SDH4	851758
YDR121W	DPB4	851699
YJL013C	MAD3	853439
YDL063C	SYO1	851497
Q0060	AI3	854595
YJL109C	UTP10	853335
YJR155W	AAD10	853620
YDR435C	PPM1	852045
YDR461W	MFA1	852072
YHR111W	UBA4	856511
YNL033W		855698
YKL072W	STB6	853790
YKL003C	MRP17	853867
YMR314W	PRE5	855362
YLR070C	XYL2	850759
YDL069C	CBS1	851491
YBR183W	YPC1	852481
YER026C	CHO1	856748
YDR073W	SNF11	851645
YDL017W	CDC7	851545
YCR093W	CDC39	850455
YML051W	GAL80	854954
YLL002W	RTT109	850658
YPL068C		856037
YIL090W	ICE2	854718
YNL018C		855713
YBR050C	REG2	852340
YMR081C	ISF1	855105
YBL097W	BRN1	852180
YJL049W	CHM7	853398
YMR231W	PEP5	855271
YBR172C	SMY2	852470
YDR260C	SWM1	851847
YKL165C	MCD4	853690
YPR175W	DPB2	856305
YOR097C		854264
YDR210W		851790
YNL024C	EFM6	855707
YLR305C	STT4	851014
YNR024W	MPP6	855758
YDL130W-A	STF1	851426
YPR022C	SDD4	856133
YPL161C	BEM4	855942
YLR107W	REX3	850797
YJR135C	MCM22	853599
YLR139C	SLS1	850830
YKL085W	MDH1	853777
YGR017W		852900
YDR322C-A	TIM11	851922
YOL123W	HRP1	853997
YCR026C	NPP1	850391
YHR205W	SCH9	856612
YLR038C	COX12	850727
YCR044C	PER1	850411
YNL160W	YGP1	855562
YLR182W	SWI6	850879
YJL191W	RPS14B	853248
YDR139C	RUB1	851717
YGL019W	CKB1	852865
YHR183W	GND1	856589
YLR132C	USB1	850823
YLR064W	PER33	850753
YER174C	GRX4	856921
YDL043C	PRP11	851518
YFR031C	SMC2	850589
YGL231C	EMC4	852620
YOR195W	SLK19	854370
YML107C	PML39	854864
YDL093W	PMT5	851464
YNR035C	ARC35	855771
YGL027C	CWH41	852857
YBR208C	DUR1,2	852507
YBL020W	RFT1	852261
YGR129W	SYF2	853030
YKR060W	UTP30	853934
YNR061C		855798
YJR141W	IPA1	853606
YBR148W	YSW1	852445
YBR164C	ARL1	852462
YGR140W	CBF2	853041
YOR305W	RRG7	854482
YGL126W	SCS3	852751
YGR088W	CTT1	852979
YBR112C	CYC8	852410
YCR047C	BUD23	850414
YCR067C	SED4	850431
YHR187W	IKI1	856594
YHR005C	GPA1	856394
YCL050C	APA1	850307
YDR333C	RQC1	851933
YKL045W	PRI2	853821
YIL122W	POG1	854684
YNL176C	TDA7	855545
YBL019W	APN2	852262
YKL043W	PHD1	853823
YPL110C	GDE1	855994
YDR527W	RBA50	852139
YGL172W	NUP49	852703
YER112W	LSM4	856848
YHR079C-A	SAE3	856479
YPR114W		856230
YKR065C	PAM17	853939
YJR054W	KCH1	853514
YPL050C	MNN9	856057
YGL139W	FLC3	852738
YHR010W	RPL27A	856401
YBR088C	POL30	852385
YML067C	ERV41	854935
YMR147W		855178
YDR020C	DAS2	851583
YMR272W-B		1466507
YPR158W	CUR1	856281
YIR036C	IRC24	854854
YDR030C	RAD28	851594
YPL274W	SAM3	855854
YDL067C	COX9	851492
YMR049C	ERB1	855068
YGL258W	VEL1	852634
YBR055C	PRP6	852344
YJL094C	KHA1	853351
YGR225W	AMA1	853140
YMR038C	CCS1	855054
YFR033C	QCR6	850593
YMR247W-A		1466506
YMR062C	ARG7	855084
YJL023C	PET130	853432
YCL014W	BUD3	850345
YJL166W	QCR8	853273
YJL214W	HXT8	853216
YNL274C	GOR1	855447
YJL126W	NIT2	853316
YOR205C	GEP3	854380
YNL164C	IBD2	855557
YJR097W	JJJ3	853560
YOR192C-C		1466485
YPR097W		856212
YMR323W	ERR3	855373
YJR070C	LIA1	853534
YDL179W	PCL9	851375
YKR075C		853950
YDL102W	POL3	851456
YCL058C	FYV5	850299
YMR234W	RNH1	855274
YLR454W	FMP27	851175
YLR212C	TUB4	850909
YPL011C	TAF3	856096
YJL105W	SET4	853339
YDR182W	CDC1	851763
YBL071W-A	KTI11	852207
YBR269C	SDH8	852572
YLR451W	LEU3	851172
YHR089C	GAR1	856489
YGR135W	PRE9	853036
YLR162W		850859
YER041W	YEN1	856764
YDR006C	SOK1	851569
YCL017C	NFS1	850343
YGR070W	ROM1	852961
YOR136W	IDH2	854303
YER074W-A	YOS1	856806
YPR081C	GRS2	856196
YDR498C	SEC20	852109
YJR104C	SOD1	853568
YLR147C	SMD3	850839
YDL224C	WHI4	851302
YHR162W	MPC2	856567
YGR229C	SMI1	853144
YLR005W	SSL1	850691
YDR082W	STN1	851655
YJL124C	LSM1	853318
YDR216W	ADR1	851802
YCR068W	ATG15	850432
YGR161W-C		3077355
YKL106W	AAT1	853755
YLR115W	CFT2	850806
YDR325W	YCG1	851925
YHL050C		856335
YGL249W	ZIP2	852643
YJL053W	PEP8	853393
YDR372C	VPS74	851978
YGR173W	RBG2	853083
